"Geo","Year","PropRuralMixed","PropRuralOnSite","PropRuralRemote","PropTownMixed","PropTownOnSite","PropTownRemote","PropMetroMixed","PropMetroOnSite","PropMetroRemote"
42,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
43,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
44,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
45,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
46,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
47,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
48,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
49,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
50,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
51,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
52,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
53,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
54,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
55,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
56,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
57,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
58,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
59,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
60,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
61,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
62,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
63,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
64,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
65,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
66,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
67,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
68,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
69,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
70,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
71,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
72,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
73,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
74,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
75,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
76,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
77,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
78,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
79,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
80,2019,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
1,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
2,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
3,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
4,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
5,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
6,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
7,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
8,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
9,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
10,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
11,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
12,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
13,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
14,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
15,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
16,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
17,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
18,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
19,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
20,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
21,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
22,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
23,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
24,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
25,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
26,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
27,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
28,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
29,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
30,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
31,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
32,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
33,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
34,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
35,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
36,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
37,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
38,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
39,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
40,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
41,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
42,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
43,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
44,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
45,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
46,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
47,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
48,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
49,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
50,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
51,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
52,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
53,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
54,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
55,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
56,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
57,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
58,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
59,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
60,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
61,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
62,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
63,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
64,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
65,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
66,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
67,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
68,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
69,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
70,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
71,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
72,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
73,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
74,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
75,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
76,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
77,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
78,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
79,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
80,2050,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423,0.20421,0.56156,0.23423
